board,decision
O XXO  X ,9
    O X X,8
         ,7
OX  XO   ,8
 O X     ,3
X   O   X,7
 OXXO OXX,6
O   XXO X,4
OO OXXX X,3
         ,1
O  OX XXO,2
O X   XXO,5
XOXOO OXX,6
XX OXX OO,7
XXO O    ,7
  XOXO   ,7
O  X     ,1
  O  X   ,5
O OXX OX ,2
    X    ,5
      X  ,5
OXXO X XO,5
   O XXO ,3
 XO   X  ,9
 XXO OO X,1
  XXXOOOX,1
O  XOX  X,3
XXOX OOX ,5
OXO   OXX,5
XO X  O  ,5
XXO OO XX,4
X   O OXX,3
O XXOXXO ,2
O O XXXO ,4
OX  XX OO,4
   O   X ,1
XOXOO XXO,6
         ,1
 OXOX O X,1
    X   O,9
X X  O O ,2
O XXO X  ,9
OX  X  O ,7
  XO  X O,5
OXX OX   ,9
 XXX  OO ,9
O  X    X,7
         ,3
  XO   OX,6
  XOOXX  ,9
X        ,5
OX   XOXO,5
O XXO  X ,9
X  XXOO  ,9
         ,1
 XX OOOX ,1
X      O ,7
   OOXXXO,1
 O X X   ,5
O OXXO X ,2
     O  X,1
O    X   ,1
 O X     ,3
 X   O   ,7
XXOO XOOX,5
X X   OO ,2
 XOOXX  O,8
 XXO XO O,1
XOOX  OX ,5
 O O X  X,3
 X  OOX  ,4
O   X X  ,3
XO O X XO,5
         ,7
 OX  X  O,5
   X     ,5
         ,5
 X  XOX O,3
         ,9
 O    X  ,7
 XO OX   ,7
 O  XOX  ,3
XOX  OXXO,4
O XO  X X,5
OX  OO XX,7
 X OO X X,6
 OX X    ,7
 X XO OX ,3
XOO   XXO,4
 X       ,5
O     X  ,3
         ,3
XO   OXX ,4
  XOX O  ,1
XOX XO   ,7
 X OOXXO ,3
X OOX X O,6
  X   X O,5
 O X XXOO,1
X OO  X X,5
 X   OXXO,3
 XXX OO  ,1
O   X O X,4
X XO     ,2
  X      ,5
 X  O    ,5
XX     O ,3
  O     X,5
OO XXO  X,3
X  OX O  ,9
X OOO  XX,7
 OO  X X ,1
 OX O X X,8
  OOXO XX,1
      X  ,5
XOOX    X,5
XXO  OX  ,9
         ,9
X        ,5
  XX O   ,1
O      X ,1
XOO X  X ,9
 XO    X ,5
   X     ,5
   X  X O,1
  XXOX  O,1
X O   X  ,4
    XOXO ,3
   X     ,5
   XOX O ,2
         ,5
X O XX  O,4
 OX O   X,6
XO X   O ,7
         ,5
