board,decision
XX  O  O ,3
O  OXO XX,2
   X X OO,5
         ,9
 O   X  X,3
   O   XX,7
OX O OXX ,5
 X OO  XX,6
 X XXOO O,8
 XXO OOXX,5
OXOX  XO ,5
 OOOXXX  ,1
   O X   ,1
 X    O X,4
 X       ,7
OXXOXO OX,7
XOXX   OO,7
OO X XOX ,5
   OXX   ,9
XXOX O O ,7
 XO XOXOX,1
   O X OX,3
X OO XOXX,5
     XO  ,5
XO      X,3
  X      ,2
       OX,5
OXX O OXX,4
O  X  OX ,5
X XOO  XO,2
XO  O   X,8
X O XX OO,4
         ,2
XOXOO   X,6
  X XOOXO,2
X XO O XO,2
XOX O O X,6
OX   OX  ,5
X   O    ,3
    OX   ,7
 XOX XOO ,5
XOO  XOXX,5
X  O   X ,9
X OOOXXX ,2
         ,9
   XOXOOX,3
      X  ,3
XOOOXX X ,7
  O     X,7
XOX  X O ,5
     X   ,5
 OX O   X,6
 OOXX X O,1
         ,8
         ,1
O X X O  ,4
X   OX OX,2
   O X   ,1
  X      ,1
X OOXXOXO,2
 XOO XX  ,5
  XXO   O,1
 O XX   O,6
XO OO  XX,7
 OX   O X,6
OXOO  XX ,5
         ,5
       X ,9
X XOOXOXO,2
    XO   ,9
 OOXO X X,8
XOOXX   O,7
         ,9
  XO   X ,5
     O X ,5
XOX    O ,5
  XO   OX,6
 OO XXX  ,1
   X     ,1
   OOXX  ,2
   O  OXX,5
  X O O X,6
       XO,5
XOO XO X ,9
 X       ,3
X        ,9
X     O  ,5
   OXXOX ,1
     O XX,7
    XOX O,3
   X     ,9
 X XO OXO,3
XO X    O,7
XXOXOX  O,7
OXO OXXX ,9
         ,5
O XO X X ,7
X  OX XOO,3
X X   O  ,9
  O O XX ,9
 XOO  X X,8
         ,9
  X      ,5
 OX      ,5
 XOOOX XX,7
      OX ,5
 X    OXO,5
 OXOXO  X,1
OXOOXOX X,8
 X   O   ,3
   XO    ,1
O X      ,7
O XX X OO,5
X XXO OO ,2
   O  X X,5
         ,7
 OOXX  X ,1
 O    XOX,5
 X O     ,5
XO   XO  ,3
XX O OX O,3
 O  X    ,1
O  X  X  ,5
O OX  X  ,9
    XO X ,3
         ,5
   OXX   ,9
OX X OXXO,3
         ,3
X  XO  OX,2
 X  OX OX,3
XXO OXXOO,4
O X OO XX,7
OX XX  O ,6
         ,7
O  OXO XX,2
  X   O  ,8
  OO XXXO,5
OX       ,5
 XXOO   X,6
XO XXO XO,3
   X  O  ,5
  O  XXOX,2
OX X XXOO,5
XX OXX OO,7
         ,5
 O OXX OX,3
OO X    X,3
XOO  XX  ,4
O      X ,3
XOXX  OOX,5
 XO    X ,5
         ,3
X O XXO  ,4
         ,1
   XOX OX,2
XXO XO   ,9
OXXOX    ,7
    XXXOO,3
 OO  XOXX,1
         ,5
O     OXX,4
      OX ,3
  X O    ,6
XOXX XOO ,9
 O   XX  ,9
O X OXX  ,9
 X      O,3
XOXOO XX ,6
         ,7
 X       ,5
  X      ,7
        X,5
   OX    ,3
    X    ,7
XOXX OOXO,5
O X      ,5
  O XOXX ,9
 O    X  ,3
 XXOXXO O,8
 XO     X,7
XXOXO    ,7
OO XOX  X,3
XOX OO  X,8
O XX   O ,7
O O   X X,8
 X      O,5
O XO X XO,7
   X O   ,7
OXOXX   O,6
