board,decision
XOOOX  X ,9
   O  X  ,8
O XX X OO,5
         ,7
XOXOO X X,6
        X,3
XO O  XX ,9
 X OXOX  ,3
   OX  X ,2
X O    X ,6
X XO  XOO,2
         ,1
X   X OO ,9
  XO XO  ,9
 XXO     ,1
 OO X  XX,1
  XX O   ,9
   OXO  X,1
         ,3
XXO OOXX ,4
    X    ,7
OX O OX X,8
 X O     ,8
 XX OO X ,4
OXXX  OXO,5
  XOX    ,7
O X  XOX ,4
 X O XX O,5
 X X   O ,6
O XX   XO,5
X  O X  O,2
     O X ,5
         ,7
 XOX OOXX,5
         ,1
O   XO  X,2
O XOOX X ,9
         ,5
XOO  OX X,4
X X OO   ,2
   XXOXOO,1
O X OX   ,9
OOXOX  XX,7
         ,2
 X OO   X,6
X  X O XO,3
  XO     ,7
      X  ,2
O  XX    ,6
X OOX OX ,2
         ,8
X OOOXXX ,9
 O  XX   ,4
  OXXO OX,1
 OXOXX  O,7
OXOXOOX X,8
O X XX OO,4
         ,9
   X OXOX,1
O OOX  XX,2
     X XO,5
     X   ,1
O OX XXO ,5
X XXOO  O,2
X  O     ,2
 OO XXOX ,4
         ,2
OXOXX X O,6
    OXX O,1
  OX     ,2
 O XOOXX ,1
XO  XOXO ,3
XOXX   OO,7
XO O X   ,3
         ,1
    X    ,2
 O X     ,1
  O O XX ,9
 XXOXOO  ,1
X        ,5
  X O    ,2
 X O     ,6
   X     ,1
O    X   ,7
 XXO     ,1
 OX X   O,7
OO  XX XO,4
         ,6
OXX O   X,6
     X O ,5
  X      ,5
 X   O  X,7
         ,8
 XXOO  XO,1
O XXXO OX,7
 OX  XXO ,5
X   XO   ,9
         ,6
OXO  XOXX,4
O   XXO  ,4
O O X  X ,2
  O  X XO,1
OX    X  ,6
OOX O  XX,6
  O  X   ,5
OXXXXO OO,7
  XOXOO X,1
         ,3
XOO X X  ,4
         ,3
         ,3
      XO ,6
 XO XXXOO,4
  X      ,5
X  X   O ,7
X OXOO XX,7
         ,5
 XX  O  O,1
OX      X,7
OX O   X ,5
 XOXOOXOX,1
